date,year,month,quarter,state,petrol_price_inr,diesel_price_inr,cng_price_inr,rbi_repo_rate_pct,india_gdp_growth_pct,india_cpi_pct,usd_inr_rate,consumer_confidence_index,diwali_month,navratri_month,eid_month,financial_year_end,budget_month,new_model_launches,gst_rate_pct,bs6_norms_active,ev_subsidy_active
2019-01-01,2019,1,Q1,Andaman & Nicobar Island,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Andhra Pradesh,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Arunachal Pradesh,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Assam,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Bihar,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Chandigarh,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Chhattisgarh,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Dadra and Nagar Haveli,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Daman and Diu,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Delhi,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Goa,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Gujarat,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Haryana,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Himachal Pradesh,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Jammu and Kashmir,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Jharkhand,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Karnataka,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Kerala,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Ladakh,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Lakshadweep,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Madhya Pradesh,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Maharashtra,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Manipur,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Meghalaya,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Mizoram,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Nagaland,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Odisha,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Puducherry,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Punjab,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Rajasthan,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Sikkim,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Tamil Nadu,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Telangana,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Tripura,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Uttar Pradesh,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,Uttarakhand,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,West Bengal,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-01-01,2019,1,Q1,All India,70.29,62.76,42.17,6.25,6.5,4.76,70.42,72,0,0,0,0,0,6,43.0,0,0
2019-02-01,2019,2,Q1,Andaman & Nicobar Island,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Andhra Pradesh,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Arunachal Pradesh,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Assam,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Bihar,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Chandigarh,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Chhattisgarh,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Dadra and Nagar Haveli,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Daman and Diu,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Delhi,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Goa,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Gujarat,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Haryana,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Himachal Pradesh,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Jammu and Kashmir,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Jharkhand,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Karnataka,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Kerala,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Ladakh,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Lakshadweep,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Madhya Pradesh,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Maharashtra,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Manipur,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Meghalaya,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Mizoram,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
2019-02-01,2019,2,Q1,Nagaland,70.48,63.0,42.29,6.25,6.5,4.76,70.42,72,0,0,0,0,1,6,43.0,0,0
